rank,score,bucket,relevance,id,name,status,asset_type,capacity_mw,duration_hours,energy_gwh,investment_eur_bn,location,developer,planning_reference,technology,counting_rule,source,url,reasons
167,87,Watch,benchmark only,storage-news-eda5d33b56f9,Developer Penso Power wins planning approval for 100MW/250MWh UK BESS on appeal - Energy-Storage.News,Proposed / planning,Battery energy storage,100.0,,,,,,,Developer Penso Power wins planning approval for 100MW/250MWh UK BESS on appeal Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMisgFBVV95cUxOZ2ViYWRaMHNfMG1GcE5tUjB4RUtrT29MTldGVTg4R19BV1FQTk5kS2FFMDNCWVRNcTIxT0wyUVFnZnV4Y1AzOEZoZGVqYzd4bkV4WWRhY2kwQTBOR3lYREdhams4TFJoM0Qzc1pHNHBSVmVHdUJGZElEc0hpaUw4MDYxRG9UM1NTZnZPSnhNYTFpQXotcU14OTdkNERMNFlPUjgxY2ZWMmdlM2lCdVVES3V3?oc=5,storage-specific language; benchmark only; >=50 MW; operational; connected; planning; proposed; counting rule present
168,87,Watch,benchmark only,storage-news-ba0f39930b8e,ILI Group secures planning consent for 50MW energy storage project - Solar Power Portal,Proposed / planning,Storage / grid flexibility,50.0,,,,,,,ILI Group secures planning consent for 50MW energy storage project Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMitwFBVV95cUxOUUZ0a1VudnpkUmE4MGJCY2VJd05yVm41WEsyTnZyX0tqZHNSZV84S0ZkUXA3TnBvNERjem1tdlcxZUxibGY5UHNKUHlaOExOS3VvUEdob2lValg2elZJNVNUQ1J5UnBqZWRWX2NtLTZMY1E3bTVkZEtROURGQzgzOWhtMnN5MVlZSXdlZzBTU3R3RlFPOEo0OWVpM2JDSVcxZzQ2bmtsMlpWMTBwXzE4TzN2UFFuLWs?oc=5,storage-specific language; benchmark only; >=50 MW; operational; connected; planning; proposed; counting rule present
169,87,Watch,benchmark only,storage-news-67d8f06d8447,EDF’s Pivot Power gets planning permission for next 100MW of 2GW UK BESS pipeline - Energy-Storage.News,Proposed / planning,Battery energy storage,100.0,,,,,,,EDF’s Pivot Power gets planning permission for next 100MW of 2GW UK BESS pipeline Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMitAFBVV95cUxObDR1bUpieUdBVHlUOWdFTXZlRnJkVlNpUFZhVzRNSVN6Vk1pQTJYMXhzRE9tRTd4dHRvSFpzSDlJWnNyNFZTRkNuU19fRG8yWDZINUVPWDV5bUVqcEtpV2tIN3IwWXpzbFhhcXRuYk1aTWRjZFp1Rl94bFNzcXpTbC1ZTmpSakFoNFp1VUcwU2YxVk42Z1Vud2s1QndBVC1qNlpPVmIxSk1HUmREUFg4YzVFcGc?oc=5,storage-specific language; benchmark only; >=50 MW; operational; connected; planning; proposed; counting rule present
170,87,Promising,in Ireland,storage-news-2758f9382c56,Rathoe hydrogen storage project to hold public information day - carlow-nationalist.ie,Watch item,LDES / green hydrogen storage,,,,,Co. Carlow,,,Rathoe hydrogen storage project to hold public information day carlow-nationalist.ie,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,carlow-nationalist.ie,https://news.google.com/rss/articles/CBMiugFBVV95cUxPNWN1SmlPLWY2TkZHbkVld3lkVC1icUFac043aUJveUtTbXRCRURteWRpbHhMTUVyeXJGVEp2YmkzNERKZ0hXVVJ0bHRpMWN0RGdjeVJNZEs3aThidWZCLXNlNXZQS1drVXl5bkpMWlJrSGZPNUxyUFkwbVQ3djZ3cFNiT1FxdkVVQnVIcmx0V0h0eGJ2ejJ0LV9hYkpvSUJPSGtBWTQxOXloZ1ZncEUzMVRxby1FNEgwWFE?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
171,83,Watch,benchmark only,storage-news-6a99b85e79ab,"UK developer Statera wins planning consent for 6-hour, 1.7GWh battery storage project - Energy-Storage.News",Proposed / planning,Battery energy storage,,,1.7,,,,,"UK developer Statera wins planning consent for 6-hour, 1.7GWh battery storage project Energy-Storage.News",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOZG8tWTdvWjVsbzhLU1lmYjRySDEydTZ0U0JpQjdNVW9zMnFjaFBnMjRlYXNwbVdzSW5BZXBZaDVIQVlfbDNOaEk5WGFFdlo5UGN3YjVCNzRJSWdKYldrbVd1MmtzNEY1NmVJODByWW4yWU9qOW1ITTltOEwzcWQ2THNjOS1DQUJXLXJqTkplYnpnNUFPRzl0ZlBfV1BRWTN4b0pQRm1VYi0wckhXdjhCUFVzX09jS2hs?oc=5,storage-specific language; benchmark only; energy capacity stated; operational; connected; planning; proposed; counting rule present
172,83,Watch,benchmark only,storage-news-3c0604978bae,Scottish government grants planning consent for 1.8GW/40GWh UK pumped hydro project - Energy-Storage.News,Proposed / planning,Pumped hydro storage,,,40.0,,,,,Scottish government grants planning consent for 1.8GW/40GWh UK pumped hydro project Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMitwFBVV95cUxOVkJDV3FCNGJaWl9VTXRrY3BqUVMyTExIRGpYSk1nSFk3WnpSZUE2SUowMmxtdTNJSVFDQU9yZFFSbDdQZS14anlzYlZRTFBReGEwT0c0U2VmNXotTmxsYzVFbW9iYW1KWWR4Qi1ZdmNadUZzTjIwVEFGOE5OdDlER0NpaGt2bWttTXpvX2NmNTRtdjBmcjJ3Q1Ntdm5hWTktbGRIaXFTbm9JUnY4MzJUZVlIamlFb0U?oc=5,storage-specific language; benchmark only; energy capacity stated; operational; connected; planning; proposed; counting rule present
173,83,Watch,benchmark only,storage-news-8cd1724f8add,"Statera gets planning consent for 6-hour, 2.4GWh UK BESS project with BYD batteries - Energy-Storage.News",Proposed / planning,Battery energy storage,,,2.4,,,,,"Statera gets planning consent for 6-hour, 2.4GWh UK BESS project with BYD batteries Energy-Storage.News",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMinwFBVV95cUxQRFk2X2lzRlBHRDJyR2RPV29qTGxncU1lV3ZHcUFScHRQLTFSYkVpTGgwampPQm9BbWliNEpuN1d2RUlLR2piemNFRDhyWG5TZVZ4M2NUSWdVcWt2WDR2VVcyWFJJSUlBaUI0NFlJajRBYjNrZ0hOQUR1THI1UTNER0pZcnY3NXd5SHRLdGxSRlE0VXBLaUdfcDYwczlHbWc?oc=5,storage-specific language; benchmark only; energy capacity stated; operational; connected; planning; proposed; counting rule present
174,81,Watch,benchmark only,storage-news-6237d4e0bc6d,New 600MW storage project could turn wasted wind power into clean electricity - Interesting Engineering,Watch item,Storage / grid flexibility,600.0,,,,,,,New 600MW storage project could turn wasted wind power into clean electricity Interesting Engineering,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Interesting Engineering,https://news.google.com/rss/articles/CBMifEFVX3lxTE1Vd1hySUZrN2hJUVo3a3JKNW1wX01yM1BaR1NEcGUtMU9Wdm9odVRzUmdQUUxfQlVaSEFtcWQxSW91T3RFYlZqTGwwLVZkMlZ3NTE0MjQwQjRMRldlOWMxRHdIR01QT2xzRTgwNFJmY3ZNZXQ4eThGYk9tbGc?oc=5,storage-specific language; benchmark only; >=50 MW; operational; connected; planning; counting rule present
175,81,Watch,benchmark only,storage-news-0e727cf8816c,"Poland roundup: Statkraft 700 MW BESS portfolio, LGES battery manufacturing, grid-scale battery financing - ESS News",Watch item,Battery energy storage,700.0,,,,,,,"Poland roundup: Statkraft 700 MW BESS portfolio, LGES battery manufacturing, grid-scale battery financing ESS News",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,ESS News,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQZXBkRFplUUFPeUZhNWkwcHRKbHFnM0hESTl0eVlXZENxU2hZeGJMZWVJTjNsaS1LaFRJV3hyWkRnZ3FkTTlYTE8yMVh2X2xCdWYteU9YeUhUS2lMWndhdUtKSV9DMEhjTzhodE9fNm5qdzh5ZU9ZNWtqNkVDWlM4MURRR0RPeDA5RDJXTHRvM0toc1B4dmJhc0djakxpclhjS0hlRmd5TUxUSE1XUEw0c2IxYjRUaXVBUllyb041V0NOMDRjM3dhS3ZZbU8xWW9JaVAtOGNB?oc=5,storage-specific language; benchmark only; >=50 MW; operational; connected; planning; counting rule present
176,81,Watch,benchmark only,storage-news-2bbd53935dd8,S4 Energy to Acquire 310 MW Battery Energy Storage Portfolio in Germany - mercomcapital.com,Watch item,Battery energy storage,310.0,,,,,,,S4 Energy to Acquire 310 MW Battery Energy Storage Portfolio in Germany mercomcapital.com,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,mercomcapital.com,https://news.google.com/rss/articles/CBMinwFBVV95cUxQR2ZDNEdYOVVyc1M1bm5XMmlteHFqeC0tZEttclhKZFlwVUc4clJJcTVIcDBWS1JhczRsT0VZa0w4ZG5JS2doZ3d0WUdLUXlsUTRVM2R5Mk5xMl8zMnEyQkdzWmVxWkhnV0ZaQzd5NWFTbXJXa1VRSWhTNzNaOGlueXluVVIzSG9veEpTR2I2Z3hsRURRNDRKMFQzSXRzOWc?oc=5,storage-specific language; benchmark only; >=50 MW; operational; connected; planning; counting rule present
177,81,Watch,benchmark only,storage-news-aed514c6f882,Wärtsilä signs a repeat order with EDF Renewables to supply a 50 MW / 100 MWh Energy Superhub battery system to the UK - Wärtsilä,Watch item,Battery energy storage,50.0,,,,,,,Wärtsilä signs a repeat order with EDF Renewables to supply a 50 MW / 100 MWh Energy Superhub battery system to the UK Wärtsilä,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Wärtsilä,https://news.google.com/rss/articles/CBMigAJBVV95cUxQRW1IU3BYQ0sxVVNadlJTVm0zV2RyQVhVcEVlNzh4bXhwUWpFblBBc0pWRW1zNWJZSDE2aExYZW5Xbk5tWFBDVGR5S0JZRTVibkpHMzE5QjhYeGgyaURFeHpVTWxyeXFuSENsa1ZoaHp2eWRvQ0lHeDZULXVXbFRPSW4taURsakFiQ3BMdThZQkJtcVNFcGJPODlLV3pXc1c5YUw4bFZRM0Q5Z3BMTjh0UkEtdnlVaFB0T2tTV2dDYm5HLUswZjJZNy1FdlNyMVZoOHJzSU9PWmxDN2o3bFNjLWVXWWI1VlFvRVFnZkZCdmlDVHNtSks1a3J3Yi1yZVMw?oc=5,storage-specific language; benchmark only; >=50 MW; operational; connected; planning; counting rule present
178,81,Watch,benchmark only,storage-news-45b27b6712cc,"Egypt to relaunch tender for 2,100 MW pumped storage hydropower project - smartwatermagazine.com",Watch item,Storage / grid flexibility,100.0,,,,,,,"Egypt to relaunch tender for 2,100 MW pumped storage hydropower project smartwatermagazine.com",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,smartwatermagazine.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxPdmtzUUROelZyUTZCLXRNZ0xaVl80T3RsSEFsbEVKcWU5bjRVc0JMWkk3MkxGcEktaEVFeWZoSHhkbnNPRXBUbHZEaVRwMWdYWFVlQkgzUXhpdUNnTGFabGdWejZyTkhYYnJCdjdxemFGTDBadktvOXZQNll3X09vNEpmNUVERG5NbWh2Mkc2VlkzOHJzRU1ub2FzQ2NSa2pWRVFwSjZSS1ZwamUtOUtsY2o4Z1FMUkhGUWxTbw?oc=5,storage-specific language; benchmark only; >=50 MW; operational; connected; planning; counting rule present
179,81,Watch,benchmark only,storage-news-ad0d061805fb,Development consent granted for 600MW underground pumped hydro plant in Scotland - Energy-Storage.News,Watch item,Pumped hydro storage,600.0,,,,,,,Development consent granted for 600MW underground pumped hydro plant in Scotland Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMiswFBVV95cUxNeWlWZTV6d3ZuYWg2UjM3OWZsckdUVDBucTMwRmZ1UjU4WVRxWENpRWprRTh5TmkxN0RwQ29LWlNGekhTMjVRMDF2cFpTVGI0RmJSQXNZREcxVEd6MURDSmlMZlJUeG40MzRZdGR0SXVuNGVsSEFjQXJ3V1ZzVFZRV2FTNXhSTEhkQzV4MFZBTVBaUlVjTktvNlU3eGNyRzE4TkxBS2p1VU91WUo4a01KN0JGNA?oc=5,storage-specific language; benchmark only; >=50 MW; operational; connected; planning; counting rule present
180,81,Watch,benchmark only,storage-news-b736c32c0707,SSE takes final investment decision on 100MW Derrymeen Battery Energy Storage System - ESS News,Watch item,Battery energy storage,100.0,,,,,,,SSE takes final investment decision on 100MW Derrymeen Battery Energy Storage System ESS News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,ESS News,https://news.google.com/rss/articles/CBMivgFBVV95cUxOR3VFZWxTYnIwWGlNRFNSdWdTR0hZX0tNSjZ0YmM0aEZnejJBX0JsMUR0SmtWZUtOZ0hSN1JFbmpkaVpHc3V1OS1HSWVzcFdYNFd0Q2pabUdXNDJjczJNQml2b2xaXzJvVXNxTkM5dGNpU3Y5bGxPendZMzdjamhvRXp6OWJOZU1aU3lLLUhYX3ZZOUVUQm9BZmMzOWJoV0pGVHAxcE5zSXFMdWxNODY1UkxxU3RLa1I2akRZdnVn?oc=5,storage-specific language; benchmark only; >=50 MW; operational; connected; planning; counting rule present
181,81,Watch,benchmark only,storage-news-9dcaed830f50,Major 600MW battery energy storage system planned for Co Antrim - Belfast Telegraph,Watch item,Battery energy storage,600.0,,,,,,,Major 600MW battery energy storage system planned for Co Antrim Belfast Telegraph,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Belfast Telegraph,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOMFExZ1lZaHotVFd1b004d2I1ZWRZdURWWi1EZHNuNWZkNTNtNTA3UVVEcHdtSm5IN3poY2pvWEdkcF9uMjk5SkFPSnM4bUIxYkkwRWVRcU1iaG5hZWJZbDJLUUtnc3VoUmUwWVU0UTZnNmkzNjdTTFBSYlUtTU0wYUlkUElOMTBRRUFzVzQ3b3FlZUZjdDh1Y0Z2MEdHdHhUUGZrYWNmQUNBTkFXbk5qS2FfVTloUkMwU0FuOHlLTlliZHNrM1FLRVR4YnNZWHBmWVZ2ZXB5T1lQbXNNc2c?oc=5,storage-specific language; benchmark only; >=50 MW; operational; connected; planning; counting rule present
182,80,Watch,benchmark only,storage-news-9bdcea22926d,Voltalia granted planning permission for 40MW UK solar project with energy storage - Energy-Storage.News,Proposed / planning,Storage / grid flexibility,40.0,,,,,,,Voltalia granted planning permission for 40MW UK solar project with energy storage Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMitgFBVV95cUxNal9nV05wMHJYNk9VYV84QXpLSlBtRDBJZWd0ekhKLWRYamtfMHpQNkRSZzg2cUFoVENHcFVBcE41T0NXQ3V1d19TQlVuLTRIelo2ZUFhZ2QzcEFCVE5CMVF2VFB5ZDBWZkFyYUxMcGVYeUJtclA4d2c2OGM1V0dtdk9TeWNoX1QyaHRLYklJdV9QNEtabkQxSy13VEpNQzBSdFhfNF9GcmNSODVJMG1Ib0MxVENHQQ?oc=5,storage-specific language; benchmark only; capacity stated; operational; connected; planning; proposed; counting rule present
183,77,Promising,in Ireland,storage-news-dd45432b244a,Plan for controversial energy storage facility in Galway refused by council - Irish Independent,Refused / challenged,Storage / grid flexibility,,,,,Co. Galway,,,Plan for controversial energy storage facility in Galway refused by council Irish Independent,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Irish Independent,https://news.google.com/rss/articles/CBMizgFBVV95cUxQRjJQZXBIcGtxVGZuOXhlYm5MdXNjZVNpN29UMFpmaGhHZTc0Q3YtX2dXc25STHVtNUtQSlFnSDZCNEZFZmtxZkNoalg5RHNUQV9XWDZheVBtcVhHS0NsZGplLTJSaDQ2TXRJZGYxYVNDZGZFbTN5V2t0MUtqdHFPOTMzajRjbG91ZDdORjRyOW43bzI2NWViOXF4WklOdmpscU9fTUFzWnREVFBQN1BFeThHcGxEVkRSeUhDeXd2LW9kbFJxSmtvYm93RUNOdw?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; refused; counting rule present
184,75,Watch,benchmark only,storage-news-8200cc720c15,Planning approval granted for £75 million Energy Storage Project - lisburncastlereagh.gov.uk,Proposed / planning,Storage / grid flexibility,,,,,,,,Planning approval granted for £75 million Energy Storage Project lisburncastlereagh.gov.uk,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,lisburncastlereagh.gov.uk,https://news.google.com/rss/articles/CBMipgFBVV95cUxNS2g4X05qcmQtay1HWmFydVFfSjZKNXk1RWIxMVJsdExtMnhrSWEwUzJWRjFOWUQ3QkhVUDF5bFN3UVdfYlRrMUpGSXFRVmlBSW1WMkNZMWF5TEJSMHhKX3JTT0RPSHYyR0lBcERFMXNnZXd4aGxLamM0ZDl3TDFrVTdDMm5KZmpYQ2hEUjVKcUJ3WVNTZkFQQ3RFSENJR0g2VUlfM1Fn?oc=5,storage-specific language; benchmark only; operational; connected; planning; proposed; counting rule present
185,75,Watch,benchmark only,storage-news-1506ab9ee829,BEIS unveils nearly £7m long duration energy storage funding - Solar Power Portal,Proposed / planning,Storage / grid flexibility,,,,,,,,BEIS unveils nearly £7m long duration energy storage funding Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMirwFBVV95cUxPSHpnSjA3X1M5WFh0TjhtMTh3cnUxR0tkLS1XUjJQcUY1OEkxeVRGOTNaNnNwcDR5M1Yxamp3dUlyRU5kTVFrYTctM0VaRU93d2hmX0ZEdzZ0enFxV05pTlpxMWdvdjNCNjFpWUhQYk1OS01lMUVGVmY4Z2xiUWpUNzVpRi1oclJscTZCMDRyNTUtZmc4aC1qUGlQNnNnUk5pYXkxSzJRbnd1MDRHVEpZ?oc=5,storage-specific language; benchmark only; operational; connected; planning; proposed; counting rule present
186,75,Watch,benchmark only,storage-news-9ff458aca199,Ambitious Allen family-backed battery storage project awaits planning verdict - The Currency,Proposed / planning,Battery energy storage,,,,,,,,Ambitious Allen family-backed battery storage project awaits planning verdict The Currency,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,The Currency,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNd1dLMlRMcEMxY3FQTTJnRUI4UEZIN2FwN1JQenNIaVFoWHFXaXVPYTd0cmtkY2VtRUg0MFFKTDhaRGM1TlJqU0RhdUJqaXY5SjZLNGt6YUVIRUpKWFRCaWJHUzdubUQ0SW93UlpHR3d2bGlPVi1UM2pkdE12MGQ4b3B1d09RLWZXUzVETENNTVJhWXBPdHRGWUdfa2lsZ3FDd05JeEZQeThoOG9EbW91V25FS2pDWEROSWl3?oc=5,storage-specific language; benchmark only; operational; connected; planning; proposed; counting rule present
187,75,Watch,benchmark only,storage-news-6cc09e7119b9,Statera secures planning consent for 8-hour energy storage site in Bedfordshire - Solar Power Portal,Proposed / planning,Storage / grid flexibility,,,,,,,,Statera secures planning consent for 8-hour energy storage site in Bedfordshire Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMiygFBVV95cUxQd2czZ0NiNGgwaXNQT2lDTHVEWW4zT2g3MmdQNnlRb0lncnV3eFVYeHlNNFM5c3BvWEhFc2JPOEN2UEZadWJERllzaUtscHRhbUI0X0IwcWpjMEFUQzZmbHNsR1UtWXFSVUVqVURtR0ZJSUZwUFNFVTZhbTdlYVhsVGdEXzdKWnBWdHFocTFPSEpkYTFKa0loWU1pYl9hRG9WMzNNUVNpQjZvbV84aTJ5d1FaS3NPT24ycTlTbmRSMUxTX2sxQURqTkhB?oc=5,storage-specific language; benchmark only; operational; connected; planning; proposed; counting rule present
188,75,Watch,benchmark only,storage-news-48f029c46525,Planning application submitted for first iron-air battery storage project 'in Europe' south-west of Buncrana - Derry Journal,Proposed / planning,Battery energy storage,,,,,,,,Planning application submitted for first iron-air battery storage project 'in Europe' south-west of Buncrana Derry Journal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Derry Journal,https://news.google.com/rss/articles/CBMi8gFBVV95cUxOSGtkYjA2NkdQM00wV1F4QmJ6UjcxdnlFRkI5bW05SUU1YTd3dDNQQjVSdzNxMThBa1dyLS1zT3BtLVRUNl83R3Fyd05fSDExQ2dDaEVXc2tPejlDclVvNXhDMXJ4eTR6VC0ydUl4WHVwYVJ5a3lhaGdia0cwT2tCaEJRYlprY2hyUVFUbzdvdHhTY0hldVRJV3llZFJMOGpVU2YyWm9HVzF0N2ktVldyR0c1cGtYaHZJWHBRcWdGY1l6bGY1UkdDb3J0bHoxMDkxcUxDWTVTdkZQNno1a01Tdl8xNDc5ODhBTnRyM0pkTDdUdw?oc=5,storage-specific language; benchmark only; operational; connected; planning; proposed; counting rule present
189,75,Watch,benchmark only,storage-news-174cdbf0f205,Planning permission received for first ever UK standalone energy storage project - Lightsource bp,Proposed / planning,Storage / grid flexibility,,,,,,,,Planning permission received for first ever UK standalone energy storage project Lightsource bp,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Lightsource bp,https://news.google.com/rss/articles/CBMitgFBVV95cUxQMEppcnVMdnVvaHgyUnNJU2dZUXNNSERZS2F5aHFhbmlJbmZ5eXpRdkQ3LUlxX1FVTFREb2hZX0pWdzNQUGMtZlpCMEtsTXJLRV90d2ViVEd6S0VzbFRhNTJuUjNnZzhsdHFYYTJZZ3NPbEpfXzBYNzRJaTlGdE1oRjQtU2NyTlB6X2NhSWJYZDhSckxCYkFSbkRCM0tOWTk3bEVhSWVjZGZBaVlRRnQxdUY4NW1FZw?oc=5,storage-specific language; benchmark only; operational; connected; planning; proposed; counting rule present
190,75,Watch,benchmark only,storage-news-0697153bad78,FuturEnergy submits planning for Europe’s first iron-air BESS - Solar Power Portal,Proposed / planning,Battery energy storage,,,,,,,,FuturEnergy submits planning for Europe’s first iron-air BESS Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMizwFBVV95cUxQN2duX2U1cUJhbzVKR19sdmM5WUNwVVhjcmgweDhmbG0tRjU0RnU3dHNTbW5CbUEyajR4a1FHWWl1cEFqSThwd2JINlVHMS1Jajl2U3lkYk9JaGo2ODVVTG9tZlNBYUxJaTNweUFLVGJkd2NhVHRpU1pXSkRNU3F1cWR4cThvakhpVGhkekhMdzNHWVNpdllXYXlsbGxpVzh2X24xZnVYSWR5eUVTZG52NWVOaEM1VVNWSU54RWlpVWpHc09mWWNhb1BlMkJZc3M?oc=5,storage-specific language; benchmark only; operational; connected; planning; proposed; counting rule present
191,75,Watch,benchmark only,storage-news-ddc58899b5b3,Battery safety and planning rules examined in new BESS briefing - internationalfireandsafetyjournal.com,Proposed / planning,Battery energy storage,,,,,,,,Battery safety and planning rules examined in new BESS briefing internationalfireandsafetyjournal.com,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,internationalfireandsafetyjournal.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxPTFMwamdOTU5mRWZmYUQ4dW5rNUdtV0tmR2VjN09JZFNSXzUyY2RhZGQ4TjlYYWpFaVBBVnMzd25qZXBxRmtuRlBiQnRoaURnWUZWQTViTWlFY2h3OEFpYU94X0lMcFZ1Ujc5ZElDMU4yTmNiQ0tqRC1RRDdxZ2ZoUVFNbGVrLTFWZDZpUlRrYmpzNFBJSFVuLXVvS3lIWUtaSEZOZTNqcTF2SnBLN1BF?oc=5,storage-specific language; benchmark only; operational; connected; planning; proposed; counting rule present
192,75,Watch,benchmark only,storage-news-144680c317da,Aura Power granted planning permission for 4-hour BESS - Solar Power Portal,Proposed / planning,Battery energy storage,,,,,,,,Aura Power granted planning permission for 4-hour BESS Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPeWhWYmkyU2hHNWdPSEYzdzM0MW0wWHViNU8wbTB6aU5aZ1JDVGc0aTNfdlAxbXVZQnZmanEyNkFFNXB1Q0NVSExseUNzZlJEQlhJWnBQR0tvNUxlYU9CY2NFdERaUmFmSGtJblhNMTduTlpzUHlLMWNDQVozRVI2Q2VpeEhBSWVoZThkWkhTZXlQQXBsMlZMUEFZTnQ0Z08yanMwdVZPWHk?oc=5,storage-specific language; benchmark only; operational; connected; planning; proposed; counting rule present
193,69,Watch,benchmark only,storage-news-908abe818b9a,Long duration storage momentum masks a commercial reality check - Recharge News,Watch item,Storage / grid flexibility,,,,,,,,Long duration storage momentum masks a commercial reality check Recharge News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Recharge News,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQZklWVGNUYzB1Q2xFdE5pRzNIZmpIdEN0VEVwMDU4Z3pGaU1ZcVQ4c2ZJZ3BfTWVFY1RQLV9NS3V3Y3N2OGlIeDZDNmxZdlY2V0llZXBNYkVITldlQWwzajFKNnI2dFlILVRKTHc3QThtUTdWOFQyWHZ0R2U2NEcwLVBtRDVqVC0wVHVKRFl3THpxNHduQnhwRnBBVzg5dWpIMTQtVVBvWHBDZWtuQ19EVy1SZUp1SDVSaHdr?oc=5,storage-specific language; benchmark only; operational; connected; planning; counting rule present
194,69,Watch,benchmark only,storage-news-ece09276d790,"VIDEO – Energy Storage Summit 2026: How much LDES does the UK need, and at what price? - Energy-Storage.News",Watch item,Storage / grid flexibility,,,,,,,,"VIDEO – Energy Storage Summit 2026: How much LDES does the UK need, and at what price? Energy-Storage.News",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMitAFBVV95cUxQbVRKMS1EckJETm1sWHhZZDljZ0U3U1BtSEJnUEE3anhsUmpsS2VqVUw4RzlHTHV1UE95R3Vudk9zUjFTWmZ3VWkyek1JeDlMXzFCQ2NUUFByczRYaklYaXp6N015VkJHNGNodF9seENBcFBaVjJoeURsbThSVTJER3BmSi0tMUpheVAyR2ZFZEc0RWN2RFYwbnhmb0ZmQU5uWGR0S01ibVBuSUlCYkVRcXZDcWo?oc=5,storage-specific language; benchmark only; operational; connected; planning; counting rule present
195,69,Watch,benchmark only,storage-news-02f9934c6e45,Europe Embraces Energy Storage to Enhance Power Flexibility - POWER Magazine,Watch item,Storage / grid flexibility,,,,,,,,Europe Embraces Energy Storage to Enhance Power Flexibility POWER Magazine,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,POWER Magazine,https://news.google.com/rss/articles/CBMijgFBVV95cUxNNEd1c3V4Q0JtTlR1TEhWcUdsdnNMWEEtZnh6RGpRN1lBNjBKeWpGaVNFUlRncGF0LWNxYW1wZ1JFMlFYU1pNUGNjWFpDcmRRQlJoZEFiTExKMXpIdE9JWFM2d1lfUXRpUzF4MmV3ZFYtVEF6TjMtUjZoa1EwZFdESGNCSWJJYXFyTERfdUdR?oc=5,storage-specific language; benchmark only; operational; connected; planning; counting rule present
